Date,BRT,DBRT,JKM,NG,TTF,NBP
Thursday November 04 2021,80.540,81.885,,5.716,24.826,25.565
Friday November 05 2021,82.740,82.750,30.306,5.516,25.066,25.828
Monday November 08 2021,83.430,84.085,31.864,5.427,26.857,27.520
Tuesday November 09 2021,84.780,84.565,30.559,4.979,24.644,25.362
Wednesday November 10 2021,82.640,84.300,27.450,4.880,23.670,24.248
Thursday November 11 2021,82.870,83.020,29.265,5.149,25.144,25.884
Friday November 12 2021,82.170,82.650,30.785,4.791,25.382,25.988
Monday November 15 2021,82.050,81.530,31.723,5.017,26.758,27.508
Tuesday November 16 2021,82.430,82.760,34.469,5.177,31.329,32.197
Wednesday November 17 2021,80.280,82.395,38.850,4.816,31.481,32.183
Thursday November 18 2021,81.240,82.150,36.666,4.902,31.652,32.318
Friday November 19 2021,78.890,79.695,36.096,5.065,28.893,29.544
Monday November 22 2021,79.700,81.105,34.144,4.789,27.691,28.295
Tuesday November 23 2021,82.310,82.825,34.009,4.967,30.015,30.618
Wednesday November 24 2021,82.250,83.125,35.987,5.068,30.841,31.375
Thursday November 25 2021,,82.260,35.315,,30.619,31.124
Friday November 26 2021,72.720,73.270,35.250,5.447,29.107,29.618
Monday November 29 2021,73.440,74.950,36.230,4.854,30.857,31.970
Tuesday November 30 2021,69.230,70.960,37.226,4.567,30.535,31.547
Wednesday December 01 2021,68.870,71.945,35.192,4.258,31.781,32.563
Thursday December 02 2021,69.670,70.705,34.794,4.056,31.451,32.214
Friday December 03 2021,69.880,71.920,34.181,4.132,29.579,30.262
Monday December 06 2021,73.080,72.190,33.226,3.657,29.704,30.456
Tuesday December 07 2021,75.440,75.810,34.250,3.708,31.602,32.287
Wednesday December 08 2021,75.820,75.735,34.573,3.815,33.708,34.400
Thursday December 09 2021,74.420,75.250,34.729,3.814,33.217,33.822
Friday December 10 2021,75.150,74.315,34.897,3.925,35.041,35.562
Monday December 13 2021,74.390,74.250,38.650,3.794,38.360,38.969
Tuesday December 14 2021,73.700,73.540,39.021,3.747,42.386,42.802
Wednesday December 15 2021,73.880,72.830,41.382,3.802,43.617,44.278
Thursday December 16 2021,75.020,74.760,39.789,3.766,47.303,47.910
Friday December 17 2021,73.520,72.995,38.699,3.690,45.251,45.760
Monday December 20 2021,71.520,69.030,41.606,3.834,48.614,49.163
Tuesday December 21 2021,73.980,72.720,44.194,3.869,59.501,59.776
Wednesday December 22 2021,75.290,74.110,42.351,3.976,57.360,57.696
Thursday December 23 2021,76.850,75.675,44.285,3.731,43.939,43.658
Friday December 24 2021,,75.365,35.948,,36.620,35.887
Monday December 27 2021,78.600,,,4.060,,
Tuesday December 28 2021,78.940,,32.467,4.055,,
Wednesday December 29 2021,79.230,77.530,31.128,4.024,32.100,31.447
Thursday December 30 2021,79.530,78.315,30.658,3.561,29.006,29.254
Friday December 31 2021,77.780,77.020,28.794,3.730,23.445,23.116
Monday January 03 2022,78.980,,23.282,3.815,,
Tuesday January 04 2022,80.000,78.990,29.356,3.717,29.416,29.353
Wednesday January 05 2022,80.800,80.900,31.926,3.882,30.407,30.312
Thursday January 06 2022,81.990,82.305,31.265,3.812,31.949,31.818
Friday January 07 2022,81.750,82.480,31.195,3.916,29.321,29.175
Monday January 10 2022,80.870,82.245,28.327,4.079,28.068,27.920
Tuesday January 11 2022,83.720,84.650,26.493,4.249,26.167,25.877
Wednesday January 12 2022,84.670,86.530,27.064,4.857,25.152,24.634
Thursday January 13 2022,84.470,86.195,22.965,4.270,28.700,28.145
Friday January 14 2022,86.060,86.965,27.943,4.262,29.140,28.483
Monday January 17 2022,,87.720,21.534,,25.735,25.162
Tuesday January 18 2022,87.510,88.525,21.718,4.283,26.044,25.470
Wednesday January 19 2022,88.440,90.510,20.697,4.031,25.136,24.633
Thursday January 20 2022,88.380,90.915,18.945,3.802,25.012,24.463
Friday January 21 2022,87.890,89.805,20.172,3.999,26.263,25.657
Monday January 24 2022,86.270,87.520,23.113,4.027,30.822,30.259
Tuesday January 25 2022,88.200,89.450,26.206,4.053,30.922,30.391
Wednesday January 26 2022,89.960,92.015,26.618,4.277,30.364,29.610
Thursday January 27 2022,89.340,91.285,28.272,6.265,30.152,29.449
Friday January 28 2022,90.030,92.860,29.678,4.639,30.025,29.488
Monday January 31 2022,89.260,92.520,27.924,4.874,27.816,27.248
Tuesday February 01 2022,89.160,93.265,,4.751,25.113,24.422
Wednesday February 02 2022,89.470,91.935,,5.501,25.608,24.945
Thursday February 03 2022,91.110,93.460,25.770,4.888,26.844,26.236
Friday February 04 2022,93.270,97.660,27.038,4.572,27.716,27.129
Monday February 07 2022,92.690,98.200,26.335,4.232,26.693,26.224
Tuesday February 08 2022,90.780,95.340,27.019,4.248,25.870,25.206
Wednesday February 09 2022,91.550,96.745,24.651,4.009,24.925,24.322
Thursday February 10 2022,91.410,97.425,25.051,3.959,24.986,24.257
Friday February 11 2022,94.440,97.835,23.551,3.941,25.874,25.283
Monday February 14 2022,96.480,99.715,26.701,4.195,26.767,26.081
Tuesday February 15 2022,93.280,97.655,25.303,4.306,23.602,23.106
Wednesday February 16 2022,94.810,100.795,21.731,4.717,23.244,22.664
Thursday February 17 2022,92.970,97.305,24.301,4.486,24.960,24.470
Friday February 18 2022,93.540,97.350,24.171,4.431,24.517,23.974
Monday February 21 2022,,98.980,23.693,,24.108,23.615
Tuesday February 22 2022,96.840,100.335,25.548,4.498,26.507,25.962
Wednesday February 23 2022,96.840,100.485,27.848,4.623,29.502,28.925
Thursday February 24 2022,99.080,106.520,36.898,4.568,43.761,42.746
Friday February 25 2022,97.930,99.500,33.048,4.470,30.704,30.139
Monday February 28 2022,97.970,103.200,36.874,4.402,32.445,31.902
Tuesday March 01 2022,104.970,112.920,32.422,4.573,39.726,38.722
Wednesday March 02 2022,112.930,117.300,48.447,4.762,53.695,52.466
Thursday March 03 2022,110.460,119.805,59.672,4.722,52.138,51.232
Friday March 04 2022,118.110,120.230,47.297,5.016,61.608,60.827
Monday March 07 2022,123.210,130.045,84.762,4.833,72.432,70.881
Tuesday March 08 2022,127.980,137.640,54.281,4.527,68.394,67.063
Wednesday March 09 2022,111.140,129.515,39.657,4.526,50.460,49.154
Thursday March 10 2022,109.330,121.105,36.457,4.631,40.815,38.970
Friday March 11 2022,112.670,118.975,28.603,4.725,42.173,40.704
Monday March 14 2022,106.900,111.625,29.647,4.658,36.851,35.348
Tuesday March 15 2022,99.910,107.955,33.547,4.568,37.125,35.861
Wednesday March 16 2022,98.020,106.480,35.516,4.748,33.062,31.532
Thursday March 17 2022,106.640,113.710,35.594,4.990,34.212,32.862
Friday March 18 2022,107.930,113.275,35.378,4.863,34.015,32.404
Monday March 21 2022,115.620,120.875,32.753,4.900,31.171,29.744
Tuesday March 22 2022,115.480,120.330,31.637,5.187,31.896,30.974
Wednesday March 23 2022,121.600,126.495,33.841,5.232,37.717,36.661
Thursday March 24 2022,119.030,124.040,38.045,5.401,36.001,34.913
Friday March 25 2022,120.650,124.350,32.660,5.571,32.601,31.214
Monday March 28 2022,112.480,117.560,30.327,5.508,32.964,32.157
Tuesday March 29 2022,110.230,112.370,32.978,5.336,35.260,34.604
Wednesday March 30 2022,113.450,115.935,36.916,5.605,39.205,37.754
Thursday March 31 2022,104.710,110.085,34.744,5.642,41.038,39.398
Friday April 01 2022,104.390,107.425,35.998,5.720,36.275,33.731
Monday April 04 2022,107.530,108.725,33.473,5.712,35.293,32.015
Tuesday April 05 2022,106.640,107.675,32.020,6.032,34.803,31.810
Wednesday April 06 2022,101.070,104.515,31.970,6.029,34.175,31.338
Thursday April 07 2022,100.580,98.275,30.718,6.359,33.435,30.508
Friday April 08 2022,102.780,100.430,31.443,6.278,33.104,29.728
Monday April 11 2022,98.480,98.495,30.094,6.643,31.978,27.778
Tuesday April 12 2022,104.640,105.325,29.720,6.680,32.580,27.531
Wednesday April 13 2022,108.780,106.635,29.249,6.997,33.482,27.782
Thursday April 14 2022,111.700,106.570,29.375,7.300,30.197,23.122
Monday April 18 2022,113.160,,25.469,7.820,,
Tuesday April 19 2022,107.250,105.650,24.775,7.176,29.645,22.518
Wednesday April 20 2022,106.800,105.510,25.363,6.937,29.998,23.207
Thursday April 21 2022,108.330,106.230,25.556,6.957,31.800,24.612
Friday April 22 2022,106.650,105.365,26.300,6.534,29.967,22.011
Monday April 25 2022,102.320,97.545,24.910,6.669,29.131,19.501
Tuesday April 26 2022,104.990,102.230,22.599,6.850,32.218,20.643
Wednesday April 27 2022,105.320,102.900,26.200,7.267,33.111,18.710
Thursday April 28 2022,107.590,105.730,22.225,6.888,30.769,19.891
Friday April 29 2022,107.140,108.160,21.900,7.244,30.746,20.554
Monday May 02 2022,107.580,,,7.475,,
Tuesday May 03 2022,104.970,106.125,,7.954,30.707,19.537
Wednesday May 04 2022,110.140,109.020,23.425,8.415,32.093,19.900
Thursday May 05 2022,110.900,112.410,23.703,8.783,32.873,20.567
Friday May 06 2022,112.390,114.325,23.353,8.043,31.542,16.985
Monday May 09 2022,105.940,106.740,20.200,7.026,28.939,15.838
Tuesday May 10 2022,102.460,103.865,19.422,7.385,30.527,17.950
Wednesday May 11 2022,107.510,107.480,21.772,7.640,29.061,17.245
Thursday May 12 2022,107.450,108.695,23.197,7.739,32.564,21.466
Friday May 13 2022,111.550,111.350,21.422,7.663,29.510,18.137
Monday May 16 2022,114.240,113.135,,7.956,28.311,21.104
Tuesday May 17 2022,111.930,116.510,20.075,8.304,29.077,23.098
Wednesday May 18 2022,109.110,111.325,22.255,8.368,29.121,22.593
Thursday May 19 2022,112.040,111.350,23.035,8.308,28.249,21.080
Friday May 20 2022,112.550,113.815,21.932,8.083,27.196,18.445
Monday May 23 2022,113.420,115.525,21.996,8.744,26.041,16.979
Tuesday May 24 2022,113.560,115.815,23.123,8.796,26.563,17.116
Wednesday May 25 2022,114.030,115.740,23.108,8.971,27.567,18.678
Thursday May 26 2022,117.400,118.685,24.338,8.908,26.997,18.162
Friday May 27 2022,119.430,119.665,23.771,8.727,27.280,19.352
Monday May 30 2022,,,,,,
